cloudsize timeav nodecountav
10 0.774 1.232
11 0.19 1.248
12 0.22 1.466
13 0.22 1.58
14 0.216 1.688
15 0.294 2.296
16 0.266 2.116
17 0.264 2.264
18 0.29 2.476
19 0.398 3.65
20 0.452 4.29
21 0.562 5.18
22 0.68 6.328
23 0.682 6.418
24 0.806 7.72
25 1.548 13.138
26 1.7 14.496
27 11.706 52.1
28 10.362 53.222
29 7.234 37.21
30 35.362 107.024
31 226.154 323.304
32 275.018 373.99
33 255.664 369.296
34 321.09 442.552
35 272.022 402.386
36 257.13 405.394
37 282.648 423.592
38 242.27 404.328
39 208.984 371.62
40 204.54 375.096
41 181.33 356.17
42 158.62 335.024
43 145.202 326.166
44 138.91 317.83
45 125.526 302.456
46 121.132 295.062
47 109.452 278.384
48 103.97 271.402
49 94.7 257.474
50 88.404 253.99
51 85.486 245.984
52 78.848 236.342
53 70.748 225.656
54 69.61 218.538
55 66.486 213.988
56 63.238 207.026
57 58.116 198.004
58 56.866 193.232
59 53.848 185.676
60 52.218 181.934
61 50.454 177.454
62 47.786 172.74
63 45.246 165.318
64 43.554 160.828
